Date,Open,High,Low,Close,Volume
2022-01-01,100.5,105.0,99.5,103.0,100000
2022-01-02,103.5,104.0,NaN,103.5,75000
2022-01-03,104.0,109.5,103.5,108.0,150000
2022-01-04,108.5,112.0,108.0,111.5,125000
2022-01-05,111.0,114.0,110.5,112.5,100000
2022-01-06,112.0,115.0,111.0,114.0,150000
2022-01-07,114.5,118.0,114.0,117.5,200000
2022-01-08,118.5,NaN,115.5,116.0,175000
2022-01-09,116.5,120.5,116.0,119.5,125000
2022-01-10,119.0,122.5,118.5,122.0,150000
2022-01-11,122.5,125.0,122.0,124.0,100000
2022-01-12,124.5,NaN,123.0,125.0,125000
2022-01-13,125.5,128.0,124.5,126.0,150000
2022-01-14,126.5,130.0,125.5,129.5,200000
2022-01-15,130.5,NaN,129.0,129.0,175000
2022-01-16,129.5,133.0,128.5,132.5,125000
2022-01-17,133.5,137.0,132.0,135.0,150000
2022-01-18,135.5,139.0,135.0,138.0,100000
2022-01-19,138.5,NaN,137.0,138.5,125000
2022-01-20,139.5,143.0,138.5,141.5,150000
2022-01-21,142.0,146.0,141.0,144.5,200000
2022-01-22,145.5,149.0,145.0,148.0,175000
2022-01-23,149.5,152.0,148.0,150.5,125000
2022-01-24,151.5,154.0,150.5,153.5,150000
2022-01-25,153.0,NaN,151.5,152.5,100000
2022-01-26,152.0,155.0,151.0,154.0,125000
2022-01-27,154.5,158.0,153.5,157.5,150000
2022-01-28,158.5,162.0,157.5,161.0,200000
2022-01-29,161.5,165.0,160.0,162.0,163.5,175000
2022-03-07,164.5,167.0,163.5,166.0,125000
2022-03-08,166.5,169.0,165.0,167.5,150000
2022-03-09,168.0,171.0,167.0,170.5,100000
2022-03-10,170.0,NaN,169.0,170.5,125000
2022-03-11,170.5,173.0,170.0,172.0,150000
2022-03-12,172.5,176.0,171.5,175.5,200000
2022-03-13,175.5,NaN,174.0,174.5,175000
2022-03-14,174.5,178.0,173.5,177.0,125000
2022-03-15,177.5,181.0,176.5,180.5,150000
2022-03-16,181.5,185.0,180.0,184.0,100000
2022-03-17,184.5,188.0,183.0,186.5,125000
2022-03-18,187.0,190.0,186.0,189.5,150000
2022-03-19,190.5,194.0,189.0,192.5,200000
2022-03-20,193.5,NaN,192.0,192.5,175000
2022-03-21,192.5,196.0,191.5,195.0,125000
2022-03-22,195.5,199.0,194.5,197.5,150000
2022-03-23,198.5,202.0,197.5,201.0,100000
2022-03-24,201.5,NaN,200.5,201.5,125000
2022-03-25,202.5,206.0,201.5,204.5,150000
2022-03-26,204.5,208.0,204.0,207.5,200000
2022-03-27,208.5,212.0,207.5,211.0,175000
2022-03-28,212.5,NaN,210.0,210.5,125000
2022-03-29,210.5,214.0,209.5,213.0,150000
2022-03-30,213.5,217.0,212.5,216.5,100000
2022-03-31,217.5,221.0,216.5,219.5,125000
